WEEKLY TIMESHEET,,,,,,,,
"BuiltRight Academy — builtright-academy.vercel.app",,,,,,,,
,,,,,,,,
Employee Name:,[Name],,Week Starting:,[Date],,,,
Employee ID:,[ID],,Week Ending:,[Date],,,,
,,,,,,,,
DAILY TIME LOG,,,,,,,,
Day,Date,Job/Project,Start Time,End Time,Break (hrs),Regular Hours,Overtime Hours,Notes
Monday,,,,,,,,
Tuesday,,,,,,,,
Wednesday,,,,,,,,
Thursday,,,,,,,,
Friday,,,,,,,,
Saturday,,,,,,,,
Sunday,,,,,,,,
,,,,,,,,
WEEKLY SUMMARY,,,,,,,,
Total Regular Hours:,0,,,,,,, 
Total Overtime Hours:,0,,,,,,,
Total Hours Worked:,0,,,,,,,
,,,,,,,,
Regular Rate:,$0.00/hr,,Regular Pay:,$0.00,,,,
Overtime Rate:,$0.00/hr,,Overtime Pay:,$0.00,,,,
,,Total Gross Pay:,$0.00,,,,,
,,,,,,,,
JOBS WORKED THIS WEEK,,,,,,,,
Job/Project,Hours,Travel Time,Materials Used,Notes,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
APPROVALS,,,,,,,,
Employee Signature:,,,Date:,,,,,
Supervisor Signature:,,,Date:,,,,,
